model_id,n_concepts,activation,t_alpha,rho,divergence,error,sign_agreement
10,15,sigmoid,20,1000.0,0.929305,4.417006e-05,0.771429
10,15,tanh,1,10.0,0.631280,1.209191e-02,0.857143
10,15,tanh,1,1000.0,0.122919,4.928981e-04,0.985714
10,15,tanh,3,10.0,0.712904,1.422367e-02,0.828571
10,15,tanh,3,1000.0,0.127643,4.635233e-04,0.976190
10,15,tanh,5,10.0,0.949007,2.361610e-02,0.690476
10,15,tanh,5,1000.0,0.663551,2.234757e-02,0.828571
10,15,tanh,10,10.0,1.043800,2.446167e-02,0.623810
10,15,tanh,10,1000.0,0.880073,2.397115e-02,0.738095
10,15,tanh,15,10.0,1.259619,4.696755e-02,0.590476
10,15,tanh,15,1000.0,1.102905,4.059093e-02,0.628571
10,15,tanh,20,10.0,1.535448,3.423834e-02,0.447619
10,15,tanh,20,1000.0,1.491491,4.543770e-02,0.438095
11,16,sigmoid,1,10.0,1.975488,1.693836e-03,0.445833
11,16,sigmoid,1,1000.0,0.685380,8.158285e-05,0.912500
11,16,sigmoid,3,10.0,2.168969,1.104204e-03,0.354167
11,16,sigmoid,3,1000.0,0.928388,4.282680e-05,0.833333
11,16,sigmoid,5,10.0,2.220282,9.428474e-04,0.337500
11,16,sigmoid,5,1000.0,0.963848,4.070599e-05,0.795833
11,16,sigmoid,10,10.0,2.233544,9.381551e-04,0.341667
11,16,sigmoid,10,1000.0,0.984402,4.051598e-05,0.816667
11,16,sigmoid,15,10.0,2.228860,9.375585e-04,0.366667
11,16,sigmoid,15,1000.0,0.973086,3.983051e-05,0.820833
11,16,sigmoid,20,10.0,2.278066,6.501974e-04,0.337500
11,16,sigmoid,20,1000.0,0.979344,4.037945e-05,0.820833
11,16,tanh,1,10.0,0.757475,1.201091e-02,0.791667
11,16,tanh,1,1000.0,0.143565,4.203686e-04,0.979167
11,16,tanh,3,10.0,0.813848,1.725719e-02,0.729167
11,16,tanh,3,1000.0,0.120611,4.120597e-04,0.975000
11,16,tanh,5,10.0,0.815015,1.526564e-02,0.716667
11,16,tanh,5,1000.0,0.141130,4.142923e-04,0.979167
11,16,tanh,10,10.0,1.003522,1.877981e-02,0.666667
11,16,tanh,10,1000.0,0.911899,2.411982e-02,0.708333
11,16,tanh,15,10.0,1.191072,4.829496e-02,0.591667
11,16,tanh,15,1000.0,1.034432,3.047208e-02,0.691667
11,16,tanh,20,10.0,1.447941,3.320596e-02,0.500000
11,16,tanh,20,1000.0,1.392293,2.144857e-02,0.529167
12,17,sigmoid,1,10.0,1.894968,1.710276e-03,0.452206
12,17,sigmoid,1,1000.0,0.694628,4.242248e-05,0.922794
12,17,sigmoid,3,10.0,2.204247,1.074489e-03,0.316176
12,17,sigmoid,3,1000.0,0.905275,2.804076e-05,0.852941
12,17,sigmoid,5,10.0,2.182552,9.470956e-04,0.345588
12,17,sigmoid,5,1000.0,0.949725,2.953143e-05,0.838235
12,17,sigmoid,10,10.0,2.172198,9.390708e-04,0.349265
12,17,sigmoid,10,1000.0,0.973987,2.844798e-05,0.823529
12,17,sigmoid,15,10.0,2.173800,9.226502e-04,0.363971
12,17,sigmoid,15,1000.0,0.962015,2.854838e-05,0.827206
12,17,sigmoid,20,10.0,2.208142,7.349156e-04,0.341912
12,17,sigmoid,20,1000.0,0.967099,2.778034e-05,0.830882
12,17,tanh,1,10.0,0.477159,1.499660e-02,0.911765
12,17,tanh,1,1000.0,0.094912,5.331667e-04,0.992647
12,17,tanh,3,10.0,0.590069,2.826208e-02,0.875000
12,17,tanh,3,1000.0,0.093579,6.287213e-04,0.985294
12,17,tanh,5,10.0,1.047789,6.726309e-02,0.698529
12,17,tanh,5,1000.0,0.455014,2.216039e-02,0.911765
12,17,tanh,10,10.0,1.176614,6.938097e-02,0.639706
12,17,tanh,10,1000.0,1.094212,7.891079e-02,0.643382
12,17,tanh,15,10.0,1.193765,8.276716e-02,0.588235
12,17,tanh,15,1000.0,1.055130,6.995643e-02,0.658088
12,17,tanh,20,10.0,1.426944,5.301955e-02,0.500000
12,17,tanh,20,1000.0,1.426671,5.015285e-02,0.496324
13,18,sigmoid,1,10.0,1.866242,1.919115e-03,0.467320
13,18,sigmoid,1,1000.0,0.595022,6.316200e-05,0.937908
13,18,sigmoid,3,10.0,2.168499,1.099277e-03,0.343137
13,18,sigmoid,3,1000.0,0.782120,3.709643e-05,0.862745
13,18,sigmoid,5,10.0,2.205032,1.060453e-03,0.320261
13,18,sigmoid,5,1000.0,0.863829,3.751883e-05,0.800654
13,18,sigmoid,10,10.0,2.235440,1.104002e-03,0.297386
13,18,sigmoid,10,1000.0,0.891833,3.966293e-05,0.774510
13,18,sigmoid,15,10.0,2.245571,1.085823e-03,0.310458
13,18,sigmoid,15,1000.0,0.895082,3.923243e-05,0.774510
13,18,sigmoid,20,10.0,2.303353,5.570604e-04,0.251634
13,18,sigmoid,20,1000.0,0.893958,3.958545e-05,0.771242
13,18,tanh,1,10.0,0.459159,9.906090e-03,0.888889
13,18,tanh,1,1000.0,0.099072,4.909207e-04,0.977124
13,18,tanh,3,10.0,0.473973,1.493678e-02,0.901961
13,18,tanh,3,1000.0,0.099955,4.876537e-04,0.977124
13,18,tanh,5,10.0,0.666758,2.995247e-02,0.839869
13,18,tanh,5,1000.0,0.584150,3.243330e-02,0.849673
13,18,tanh,10,10.0,0.997614,7.172758e-02,0.689542
13,18,tanh,10,1000.0,1.019712,7.333683e-02,0.669935
13,18,tanh,15,10.0,1.089325,7.489742e-02,0.643791
13,18,tanh,15,1000.0,1.056819,9.629375e-02,0.666667
13,18,tanh,20,10.0,1.388190,2.730859e-01,0.539216
13,18,tanh,20,1000.0,1.313502,1.488833e-01,0.529412
14,19,sigmoid,1,10.0,1.913929,1.505914e-03,0.470760
14,19,sigmoid,1,1000.0,0.719291,4.183941e-05,0.935673
14,19,sigmoid,3,10.0,2.190912,9.354346e-04,0.377193
14,19,sigmoid,3,1000.0,0.904613,3.224600e-05,0.871345
14,19,sigmoid,5,10.0,2.209764,1.008597e-03,0.380117
