model_id,n_concepts,activation,metric,steps_mode,t_alpha,rho,divergence,divergence_abs,error,sign_agreement,n_iter,seconds,success
1,6,sigmoid,nuclear,all,1,1.0,1.897163,6.494054,4.226711e-03,0.433333,25,0.0155,1
1,6,sigmoid,nuclear,all,1,10.0,1.857609,6.358661,1.720759e-03,0.366667,98,0.0609,1
1,6,sigmoid,nuclear,all,1,100.0,1.188302,4.067598,4.818554e-04,0.733333,317,0.1785,1
1,6,sigmoid,nuclear,all,1,1000.0,0.671781,2.299529,1.153969e-04,0.833333,429,0.2497,1
1,6,sigmoid,nuclear,all,1,10000.0,0.294356,1.007589,2.498447e-05,0.933333,367,0.2006,1
1,6,sigmoid,nuclear,half,10,1.0,1.894719,6.485688,3.067784e-03,0.433333,29,0.0180,1
1,6,sigmoid,nuclear,half,10,10.0,2.035992,6.969270,8.511427e-04,0.300000,99,0.0594,1
1,6,sigmoid,nuclear,half,10,100.0,1.498569,5.129654,3.182985e-04,0.600000,237,0.1420,1
1,6,sigmoid,nuclear,half,10,1000.0,0.856392,2.931459,7.449626e-05,0.800000,345,0.1892,1
1,6,sigmoid,nuclear,half,10,10000.0,0.461655,1.580259,1.651266e-05,0.900000,560,0.2980,1
1,6,sigmoid,nuclear,last,20,1.0,1.894723,6.485702,3.068056e-03,0.433333,29,0.0187,1
1,6,sigmoid,nuclear,last,20,10.0,2.030676,6.951075,8.471927e-04,0.300000,85,0.0518,1
1,6,sigmoid,nuclear,last,20,100.0,1.502197,5.142072,3.372989e-04,0.533333,323,0.1857,1
1,6,sigmoid,nuclear,last,20,1000.0,0.856395,2.931469,7.449661e-05,0.800000,336,0.1877,1
1,6,sigmoid,nuclear,last,20,10000.0,0.461654,1.580257,1.651264e-05,0.900000,489,0.2791,1
1,6,sigmoid,spectral,all,1,1.0,2.010644,6.882504,1.236217e-02,0.433333,22,0.0136,1
1,6,sigmoid,spectral,all,1,10.0,1.764519,6.040008,1.918005e-03,0.533333,62,0.0365,1
1,6,sigmoid,spectral,all,1,100.0,1.305975,4.470397,6.352786e-04,0.633333,136,0.0743,1
1,6,sigmoid,spectral,all,1,1000.0,0.805761,2.758148,1.628416e-04,0.866667,222,0.1348,1
