model_id,n_concepts,activation,phi,rho,divergence,error,sign_agreement
12,17,sigmoid,0.6,10.0,1.842776,1.638070e-03,0.503676
12,17,sigmoid,0.6,1000.0,0.697202,3.579962e-05,0.933824
12,17,sigmoid,0.8,10.0,1.894968,1.710276e-03,0.452206
12,17,sigmoid,0.8,1000.0,0.694628,4.242248e-05,0.922794
12,17,sigmoid,0.9,10.0,1.925446,1.663547e-03,0.426471
12,17,sigmoid,0.9,1000.0,0.693831,4.215533e-05,0.915441
12,17,sigmoid,1.0,10.0,1.895901,1.790699e-03,0.455882
12,17,sigmoid,1.0,1000.0,0.683251,4.788959e-05,0.915441
12,17,tanh,0.2,10.0,1.503815,1.471741e-03,0.661765
12,17,tanh,0.2,1000.0,0.864253,1.589976e-04,0.904412
12,17,tanh,0.4,10.0,1.210460,2.529763e-03,0.720588
12,17,tanh,0.4,1000.0,0.500782,6.645076e-05,0.955882
12,17,tanh,0.6,10.0,0.881375,5.046970e-03,0.775735
12,17,tanh,0.6,1000.0,0.215088,2.117483e-04,0.977941
12,17,tanh,0.8,10.0,0.477159,1.499660e-02,0.911765
12,17,tanh,0.8,1000.0,0.094912,5.331667e-04,0.992647
12,17,tanh,0.9,10.0,0.632854,1.081437e-01,0.823529
12,17,tanh,0.9,1000.0,0.159431,1.706439e-02,0.955882
12,17,tanh,1.0,10.0,0.734775,2.127165e-01,0.738971
12,17,tanh,1.0,1000.0,0.700672,2.234704e-01,0.783088
13,18,sigmoid,0.2,10.0,2.148456,1.398824e-03,0.382353
13,18,sigmoid,0.2,1000.0,0.737094,4.609514e-05,0.898693
13,18,sigmoid,0.4,10.0,1.866530,1.769041e-03,0.467320
13,18,sigmoid,0.4,1000.0,0.621042,6.004638e-05,0.915033
13,18,sigmoid,0.6,10.0,1.783946,1.729223e-03,0.519608
13,18,sigmoid,0.6,1000.0,0.598460,6.353077e-05,0.931373
13,18,sigmoid,0.8,10.0,1.866242,1.919115e-03,0.467320
13,18,sigmoid,0.8,1000.0,0.595022,6.316200e-05,0.937908
13,18,sigmoid,0.9,10.0,1.887405,1.847595e-03,0.470588
13,18,sigmoid,0.9,1000.0,0.603722,7.351958e-05,0.924837
13,18,sigmoid,1.0,10.0,1.852523,2.033995e-03,0.447712
13,18,sigmoid,1.0,1000.0,0.582508,7.996430e-05,0.918301
13,18,tanh,0.2,10.0,1.458589,2.463022e-03,0.620915
13,18,tanh,0.2,1000.0,0.599582,1.194780e-04,0.944444
13,18,tanh,0.4,10.0,1.141231,3.141002e-03,0.735294
13,18,tanh,0.4,1000.0,0.397915,9.364574e-05,0.973856
13,18,tanh,0.6,10.0,0.782926,6.667688e-03,0.866013
13,18,tanh,0.6,1000.0,0.178716,2.596263e-04,0.970588
13,18,tanh,0.8,10.0,0.459159,9.906090e-03,0.888889
13,18,tanh,0.8,1000.0,0.099072,4.909207e-04,0.977124
13,18,tanh,0.9,10.0,0.352713,2.324281e-02,0.931373
13,18,tanh,0.9,1000.0,0.325569,3.315766e-02,0.905229
13,18,tanh,1.0,10.0,0.698768,1.246491e-01,0.794118
13,18,tanh,1.0,1000.0,0.402953,5.447596e-02,0.918301
14,19,sigmoid,0.2,10.0,2.209912,1.132232e-03,0.388889
14,19,sigmoid,0.2,1000.0,0.883108,3.388841e-05,0.871345
14,19,sigmoid,0.4,10.0,1.916855,1.374433e-03,0.491228
14,19,sigmoid,0.4,1000.0,0.702522,3.593901e-05,0.923977
14,19,sigmoid,0.6,10.0,1.859371,1.471102e-03,0.497076
14,19,sigmoid,0.6,1000.0,0.685548,4.040617e-05,0.929825
14,19,sigmoid,0.8,10.0,1.913929,1.505914e-03,0.470760
14,19,sigmoid,0.8,1000.0,0.719291,4.183941e-05,0.935673
14,19,sigmoid,0.9,10.0,1.929957,1.419741e-03,0.479532
14,19,sigmoid,0.9,1000.0,0.695084,3.846976e-05,0.938596
14,19,sigmoid,1.0,10.0,1.898254,1.474865e-03,0.491228
14,19,sigmoid,1.0,1000.0,0.675714,3.657960e-05,0.929825
14,19,tanh,0.2,10.0,1.572698,1.707053e-03,0.663743
14,19,tanh,0.2,1000.0,0.758993,9.758044e-05,0.935673
14,19,tanh,0.4,10.0,1.162079,3.113792e-03,0.742690
14,19,tanh,0.4,1000.0,0.356266,1.285349e-04,0.964912
14,19,tanh,0.6,10.0,0.742434,8.123621e-03,0.801170
14,19,tanh,0.6,1000.0,0.158151,3.225798e-04,0.973684
14,19,tanh,0.8,10.0,0.967073,4.234998e-02,0.698830
14,19,tanh,0.8,1000.0,0.727834,3.479241e-02,0.777778
14,19,tanh,0.9,10.0,1.053896,1.125303e-01,0.614035
14,19,tanh,0.9,1000.0,1.015633,9.632143e-02,0.646199
14,19,tanh,1.0,10.0,1.195113,2.122403e-01,0.573099
14,19,tanh,1.0,1000.0,1.039546,1.424557e-01,0.611111
15,20,sigmoid,0.2,10.0,2.091630,1.357657e-03,0.402632
15,20,sigmoid,0.2,1000.0,0.651317,4.061822e-05,0.894737
15,20,sigmoid,0.4,10.0,1.759713,1.638715e-03,0.521053
15,20,sigmoid,0.4,1000.0,0.518922,4.173697e-05,0.942105
15,20,sigmoid,0.6,10.0,1.701341,1.798344e-03,0.536842
15,20,sigmoid,0.6,1000.0,0.504274,4.023707e-05,0.952632
15,20,sigmoid,0.8,10.0,1.747492,1.860355e-03,0.518421
15,20,sigmoid,0.8,1000.0,0.504231,4.425718e-05,0.960526
15,20,sigmoid,0.9,10.0,1.787058,1.922512e-03,0.500000
15,20,sigmoid,0.9,1000.0,0.503895,4.289760e-05,0.957895
15,20,sigmoid,1.0,10.0,1.737963,2.027346e-03,0.523684
15,20,sigmoid,1.0,1000.0,0.487242,3.947208e-05,0.957895
15,20,tanh,0.2,10.0,1.377762,3.173616e-03,0.684211
15,20,tanh,0.2,1000.0,0.467160,2.316461e-05,0.965789
15,20,tanh,0.4,10.0,1.053486,3.772512e-03,0.744737
15,20,tanh,0.4,1000.0,0.292260,1.558808e-04,0.971053
15,20,tanh,0.6,10.0,0.650893,7.724069e-03,0.839474
15,20,tanh,0.6,1000.0,0.129264,3.309042e-04,0.978947
15,20,tanh,0.8,10.0,0.821843,7.853967e-02,0.744737
15,20,tanh,0.8,1000.0,0.316672,2.232746e-02,0.931579
15,20,tanh,0.9,10.0,0.902826,1.435049e-01,0.707895
15,20,tanh,0.9,1000.0,0.903686,1.544753e-01,0.692105
15,20,tanh,1.0,10.0,0.956104,2.958099e-01,0.636842
15,20,tanh,1.0,1000.0,1.327023,1.017467e+00,0.492105
16,5,sigmoid,0.2,10.0,2.548635,1.563216e-03,0.050000
16,5,sigmoid,0.2,1000.0,1.081089,1.504772e-04,0.600000
16,5,sigmoid,0.4,10.0,2.408475,2.497030e-03,0.150000
16,5,sigmoid,0.4,1000.0,0.840768,1.931957e-04,0.800000
16,5,sigmoid,0.6,10.0,2.350530,2.697443e-03,0.150000
16,5,sigmoid,0.6,1000.0,0.814318,2.071290e-04,0.800000
